payment_id,order_id,payment_status,payment_amount,payment_date
P5001,O1001,SUCCESS,120.00,2024-08-01
P5002,O1002,SUCCESS,340.50,2024-08-02
P5003,O1003,FAILED,45.00,2024-08-03
P5004,O1004,SUCCESS,780.00,2024-08-04
P5005,O1005,PENDING,210.75,2024-08-05
P5006,O1006,SUCCESS,95.40,2024-08-06
P5007,O1007,SUCCESS,1250.00,2024-08-07
P5008,O1008,FAILED,60.00,2024-08-08
P5009,O1008,PENDING,60.00,2024-08-09
P5010,O1009,SUCCESS,430.00,2024-08-09
P5011,O1011,SUCCESS,510.00,2024-08-11
P5012,O1012,SUCCESS,999.99,2024-08-12
P5013,O1014,SUCCESS,275.25,2024-08-14
P5014,O9999,SUCCESS,88.00,2024-08-14
P5015,O1016,FAILED,620.00,2024-08-16
P5016,O1016,SUCCESS,620.00,2024-08-17
