order_id,customer_id,order_date,order_datetime,order_amount,order_status,payment_status,country
2001,1,2026-05-01,2026-05-01 09:00:00,45.00,Created,Pending,UK
2002,2,2026-05-01,2026-05-01 10:15:00,120.00,Delivered,Paid,India
2003,3,2026-05-03,2026-05-03 11:20:00,320.00,Shipped,Paid,USA
2004,4,2026-05-05,2026-05-05 12:10:00,75.50,Delivered,Paid,Canada
2005,5,2026-05-07,2026-05-07 13:05:00,640.00,Returned,Refunded,Germany
2006,6,2026-05-09,2026-05-09 14:30:00,28.00,Cancelled,Failed,Australia
2007,7,2026-05-11,2026-05-11 09:45:00,210.00,Delivered,Paid,UK
2008,8,2026-05-13,2026-05-13 15:20:00,510.00,Delivered,Paid,India
2009,9,2026-05-15,2026-05-15 16:10:00,95.00,Created,Pending,USA
2010,10,2026-05-17,2026-05-17 17:35:00,380.00,Shipped,Paid,Canada
2011,11,2026-05-19,2026-05-19 08:30:00,22.00,Cancelled,Failed,Germany
2012,12,2026-05-21,2026-05-21 09:25:00,730.00,Delivered,Paid,Australia
2013,13,2026-05-23,2026-05-23 10:40:00,150.00,Delivered,Paid,UK
2014,14,2026-05-25,2026-05-25 11:55:00,49.99,Created,Pending,India
2015,15,2026-05-27,2026-05-27 13:15:00,275.00,Returned,Refunded,USA
2016,16,2026-06-01,2026-06-01 09:05:00,90.00,Delivered,Paid,UK
2017,17,2026-06-01,2026-06-01 10:50:00,420.00,Delivered,Paid,India
2018,18,2026-06-03,2026-06-03 11:25:00,15.00,Created,Pending,USA
2019,19,2026-06-05,2026-06-05 12:35:00,980.00,Delivered,Paid,Canada
2020,20,2026-06-07,2026-06-07 14:45:00,60.00,Cancelled,Failed,Germany
2021,21,2026-06-09,2026-06-09 09:55:00,310.00,Shipped,Paid,Australia
2022,22,2026-06-11,2026-06-11 15:05:00,125.00,Delivered,Paid,UK
2023,23,2026-06-13,2026-06-13 16:15:00,560.00,Returned,Refunded,India
2024,24,2026-06-15,2026-06-15 08:20:00,80.00,Created,Pending,USA
2025,25,2026-06-15,2026-06-15 10:30:00,455.00,Delivered,Paid,Canada
2026,26,2026-06-17,2026-06-17 11:40:00,35.00,Cancelled,Failed,Germany
2027,27,2026-06-19,2026-06-19 12:50:00,690.00,Delivered,Paid,Australia
2028,28,2026-06-21,2026-06-21 13:10:00,240.00,Delivered,Paid,UK
2029,29,2026-06-23,2026-06-23 14:20:00,110.00,Shipped,Paid,India
2030,30,2026-06-25,2026-06-25 15:30:00,520.00,Delivered,Paid,USA
2031,31,2026-07-01,2026-07-01 09:15:00,12.00,Created,Pending,UK
2032,32,2026-07-02,2026-07-02 10:25:00,35.00,Delivered,Paid,India
2033,33,2026-07-04,2026-07-04 11:35:00,42.00,Delivered,Paid,USA
2034,34,2026-07-06,2026-07-06 12:45:00,18.00,Cancelled,Failed,Canada
2035,35,2026-07-08,2026-07-08 13:55:00,50.00,Shipped,Paid,Germany
2036,36,2026-07-10,2026-07-10 15:05:00,65.00,Delivered,Paid,Australia
2037,37,2026-07-12,2026-07-12 16:15:00,25.00,Returned,Refunded,UK
2038,38,2026-07-14,2026-07-14 08:25:00,30.00,Created,Pending,India
2039,39,2026-07-16,2026-07-16 09:35:00,55.00,Delivered,Paid,USA
2040,40,2026-07-18,2026-07-18 10:45:00,20.00,Cancelled,Failed,Canada
2041,41,2026-07-20,2026-07-20 11:55:00,70.00,Delivered,Paid,Germany
2042,42,2026-07-22,2026-07-22 13:05:00,45.00,Shipped,Paid,Australia
2043,43,2026-07-24,2026-07-24 14:15:00,28.00,Delivered,Paid,UK
2044,44,2026-07-26,2026-07-26 15:25:00,38.00,Created,Pending,India
2045,45,2026-07-28,2026-07-28 16:35:00,60.00,Delivered,Paid,USA
2046,46,2026-08-01,2026-08-01 09:10:00,180.00,Delivered,Paid,UK
2047,47,2026-08-03,2026-08-03 10:20:00,725.00,Delivered,Paid,India
2048,48,2026-08-05,2026-08-05 11:30:00,95.00,Created,Pending,USA
2049,49,2026-08-07,2026-08-07 12:40:00,410.00,Delivered,Paid,Canada
2050,50,2026-08-09,2026-08-09 13:50:00,66.00,Cancelled,Failed,Germany
2051,51,2026-08-11,2026-08-11 15:00:00,230.00,Shipped,Paid,Australia
2052,52,2026-08-13,2026-08-13 16:10:00,810.00,Delivered,Paid,UK
2053,53,2026-08-15,2026-08-15 08:20:00,140.00,Returned,Refunded,India
2054,54,2026-08-17,2026-08-17 09:30:00,360.00,Delivered,Paid,USA
2055,55,2026-08-19,2026-08-19 10:40:00,58.00,Created,Pending,Canada
2056,56,2026-08-21,2026-08-21 11:50:00,620.00,Delivered,Paid,Germany
2057,57,2026-08-23,2026-08-23 13:00:00,105.00,Shipped,Paid,Australia
2058,58,2026-08-25,2026-08-25 14:10:00,202.00,Delivered,Paid,UK
2059,59,2027-01-05,2027-01-05 09:00:00,300.00,Created,Pending,USA
2060,60,,2026-08-27 10:00:00,155.00,Delivered,Paid,Canada
