performance_date,campaign_id,channel,country,impressions,clicks,cost,conversions,revenue,source_file
2026-06-01,CMP3001,Search,UK,10000,450,300,12,900,search_daily.csv
2026-06-02,CMP3001,Search,UK,11000,470,320,13,940,search_daily.csv
2026-06-03,CMP3002,Social,India,15000,700,650,18,1600,social_daily.csv
2026-06-04,CMP3003,Email,USA,5000,210,100,8,620,email_daily.csv
2026-06-05,CMP3001,Search,UK,12000,500,340,14,980,search_daily.csv
2026-06-05,CMP3001,Search,UK,12000,500,340,14,980,search_daily.csv
2026-06-06,CMP3004,Display,Canada,20000,300,900,2,120,search_daily.csv
2026-06-07,CMP3005,Affiliate,Germany,7000,140,250,4,420,social_daily.csv
2026-06-08,CMP3002,Social,India,16000,720,680,20,1750,social_daily.csv
2026-06-08,CMP3002,Social,India,16200,730,690,21,1800,retry_load.csv
2026-06-09,CMP3003,Email,USA,5200,220,105,8,650,email_daily.csv
2026-06-10,CMP3001,Search,Australia,9000,420,280,10,780,search_daily.csv
2026-06-11,CMP3002,Social,UK,13000,600,580,15,1320,social_daily.csv
2026-06-12,CMP3003,Email,India,4800,190,95,6,500,email_daily.csv
2026-06-13,CMP3004,Display,USA,21000,310,920,0,0,search_daily.csv
2026-06-14,CMP3005,Affiliate,Canada,6500,120,230,3,300,social_daily.csv
2026-06-15,CMP3001,Search,Germany,14000,660,520,19,1900,search_daily.csv
2026-06-16,CMP3002,Social,Australia,15500,710,640,17,1500,social_daily.csv
2026-06-17,CMP3003,Email,UK,5400,230,110,9,700,email_daily.csv
2026-06-18,CMP3004,Display,India,22000,330,940,1,80,search_daily.csv
2026-06-19,CMP3005,Affiliate,USA,7200,150,260,5,510,social_daily.csv
2026-06-20,CMP3001,Search,Canada,12500,540,360,15,1100,search_daily.csv
2026-06-21,CMP3002,Social,Germany,17000,760,700,22,1850,social_daily.csv
2026-06-22,CMP3003,Email,Australia,5600,240,115,9,720,email_daily.csv
2026-06-23,CMP3004,Display,UK,23000,340,960,0,0,search_daily.csv
2026-06-24,CMP3005,Affiliate,India,7600,160,280,6,560,social_daily.csv
2026-06-25,CMP3001,Search,USA,13000,560,380,16,1200,search_daily.csv
2026-06-26,CMP3002,Social,Canada,17500,780,720,23,1920,social_daily.csv
2026-06-27,CMP3003,Email,Germany,5800,250,120,10,760,email_daily.csv
2026-06-28,CMP3004,Display,Australia,24000,350,980,2,140,search_daily.csv
2026-06-29,CMP3005,Affiliate,UK,8000,170,300,7,620,social_daily.csv
2026-06-30,CMP3001,Search,India,13500,580,400,17,1280,search_daily.csv
2026-06-30,CMP3001,Search,India,13500,580,400,17,1280,retry_load.csv
2026-07-01,CMP3002,Social,USA,18000,800,740,24,2000,social_daily.csv
2026-07-02,CMP3003,Email,Canada,6000,260,125,11,800,email_daily.csv
