order_item_id,order_id,product_id,quantity,unit_price
OI001,O3001,P001,2,29.99
OI002,O3001,P006,1,12.75
OI003,O3002,P004,2,18.00
OI004,O3003,P002,1,54.50
OI005,O3003,P003,2,72.00
OI006,O3004,P007,1,44.90
OI007,O3005,P005,1,120.00
OI008,O3005,P001,3,29.99
OI009,O3006,P011,1,15.50
OI010,O3007,P010,2,32.50
OI011,O3008,P008,2,24.99
OI012,O3008,P009,1,35.00
OI013,O3009,P004,1,18.00
OI014,O3010,P002,2,54.50
OI015,O3011,P006,3,12.75
OI016,O3012,P003,4,72.00
OI017,O3012,P010,2,32.50
OI018,O3013,P011,2,15.50
OI019,O3014,P001,1,29.99
OI020,O3014,P008,1,24.99
OI021,O3015,P002,3,54.50
OI022,O3015,P003,1,72.00
OI023,O3016,P006,2,12.75
OI024,O3017,P005,2,120.00
OI025,O3018,P011,1,15.50
OI026,O3019,P007,2,44.90
OI027,O3020,P010,1,32.50
OI028,O3021,P009,3,35.00
OI029,O3022,P004,2,18.00
OI030,O3023,P008,1,24.99
OI031,O3024,P999,1,49.99
OI032,O3999,P001,2,29.99
OI033,O3025,P002,1,54.50
OI034,O3025,P003,2,72.00
OI035,O3025,P006,1,12.75
