sale_date,product_id,customer_id,quantity,sales_amount
2024-08-01,PR001,C001,2,50.00
2024-08-01,PR002,C002,1,120.00
2024-08-02,PR003,C003,1,250.00
2024-08-02,PR001,C001,3,75.00
2024-08-03,PR004,C005,2,160.00
2024-08-03,PR006,C006,1,450.00
2024-08-04,PR007,C008,1,600.00
2024-08-04,PR002,C009,2,240.00
2024-08-05,PR008,C012,4,140.00
2024-08-05,PR010,C014,1,180.00
2024-08-06,PR003,C002,2,500.00
2024-08-06,PR011,C015,3,195.00
2024-08-07,PR001,,1,25.00
2024-08-07,PR006,C001,1,450.00
2024-08-08,PR004,C006,1,80.00
2024-08-08,PR002,C008,1,120.00
2024-08-09,PR010,C009,2,360.00
2024-08-10,PR011,C012,1,65.00
