campaign_id,campaign_name,channel,country,campaign_status,budget
CMP401,Spring Search UK,Search,UK,Active,2500.00
CMP402,Social India Launch,Social,India,Completed,1800.00
CMP403,Email USA Promo,Email,USA,Active,1200.00
CMP404,Display Canada Sale,Display,Canada,Paused,1600.00
CMP405,Affiliate Germany Push,Affiliate,Germany,Active,1400.00
CMP406,Search Australia Deals,Search,Australia,Completed,2100.00
CMP407,Social UK Retargeting,Social,UK,Active,1700.00
CMP408,Email India Offers,Email,India,Paused,900.00
CMP409,Display USA Awareness,Display,USA,Active,3000.00
CMP410,Affiliate Canada Trial,Affiliate,Canada,Cancelled,700.00
CMP411,Search Germany Promo,Search,Germany,Active,2300.00
CMP412,Social Australia Growth,Social,Australia,Completed,1500.00
CMP413,Email Canada Renewal,Email,Canada,Active,850.00
CMP414,Display Germany Awareness,Display,Germany,Paused,950.00
